1,0#851.1,667.7;851.1,588.9;827.4,644.0;772.3,648.0;752.6,730.7;764.4,825.3;799.8,644.0;788.0,506.2;788.0,510.1;784.1,443.1;827.4,407.7;839.2,451.0;827.4,502.2;744.7,506.2;764.4,478.6;799.8,419.5
69,0#719.6,511.5;719.6,420.6;667.2,364.6;604.2,371.6;562.3,438.0;569.3,535.9;635.7,371.6;600.7,238.8;600.7,238.8;585.0,167.1;583.3,256.3;634.0,174.1;635.7,228.3;558.8,245.8;527.3,280.7;544.8,242.3
70,0#724.5,531.1;699.8,440.4;662.7,358.1;605.1,358.1;543.3,424.0;563.9,514.6;633.9,358.1;584.5,230.4;584.5,226.2;576.2,160.3;588.6,110.9;617.4,156.2;621.5,222.1;547.4,242.7;535.0,296.3;539.2,263.3
71,0#732.2,544.9;685.7,452.0;653.5,359.1;599.9,359.1;517.7,405.5;553.5,487.7;624.9,359.1;574.9,230.4;574.9,226.8;566.0,160.7;571.3,266.1;607.1,273.3;610.6,219.7;535.6,244.7;524.9,294.7;542.7,269.7
72,0#718.7,531.7;682.5,443.2;650.3,346.7;589.9,346.7;497.4,382.9;545.7,459.3;618.1,350.7;565.8,226.0;565.8,221.9;553.7,145.5;596.0,139.4;612.0,139.4;606.0,205.8;525.5,242.0;513.5,298.4;537.6,282.3
73,0#710.1,529.1;682.9,443.8;632.6,354.7;574.4,354.7;481.4,358.6;535.7,432.2;601.6,354.7;558.9,222.9;555.1,219.1;547.3,149.3;589.9,126.1;624.8,172.6;605.4,203.6;512.4,242.3;477.6,292.7;508.6,269.4
74,0#703.2,524.2;683.9,442.9;614.2,361.6;563.8,369.3;478.6,342.2;517.3,423.5;590.9,365.4;548.3,233.8;548.3,229.9;536.7,152.4;590.9,152.4;625.8,195.0;598.7,222.1;494.1,245.4;439.9,280.2;474.7,264.7
75,0#696.0,515.7;681.4,435.3;601.0,365.9;542.5,369.5;473.1,340.3;498.7,424.3;571.8,369.5;535.2,241.6;535.2,234.3;531.6,164.9;597.3,172.2;622.9,219.7;586.4,227.0;487.7,248.9;418.3,259.9;447.5,259.9
76,0#680.8,500.9;680.8,421.9;591.4,380.6;536.4,390.9;467.7,360.0;488.3,442.5;563.9,384.1;526.1,250.0;526.1,243.1;522.7,174.4;598.3,198.4;618.9,243.1;570.8,246.6;474.5,253.4;409.2,239.7;450.5,198.4
77,0#658.2,477.4;667.2,399.0;576.7,386.9;522.4,399.0;468.1,380.9;489.2,468.4;552.6,395.9;519.4,257.1;519.4,251.1;516.4,184.7;594.8,220.9;612.9,260.2;567.7,254.1;471.1,254.1;425.8,227.0;425.8,181.7
78,0#631.7,456.4;653.2,379.7;573.4,395.0;515.0,401.2;462.8,407.3;484.3,496.3;542.7,401.2;518.1,266.1;515.0,259.9;512.0,195.5;597.9,244.6;607.2,281.4;564.2,263.0;472.1,263.0;435.2,235.4;422.9,186.2
79,0#605.2,437.2;629.7,357.6;571.5,394.3;510.3,406.6;467.4,434.1;485.8,526.0;537.8,403.5;519.5,274.9;516.4,268.7;513.3,204.4;599.1,268.7;605.2,305.5;562.3,277.9;470.5,265.7;421.5,247.3;421.5,207.5
80,0#493.3,544.8;493.3,471.5;563.3,408.2;500.0,408.2;476.7,461.5;486.7,548.1;536.6,408.2;523.3,281.7;520.0,275.0;516.7,208.4;609.9,288.4;599.9,318.3;569.9,285.0;473.4,278.4;423.4,275.0;426.7,238.4
